date	rank	quote	market cap	24-hr volume	24-hr volume δ	vol δ%	price δ%	vol ^ 5%	vol ^ 10%	price ^ 10%	correspondence 5%	correspondence 10%	n
2025-12-10	9765	$0.001431	$21,494	$65,631	-$4,938	-7.52%	1.40%	0	0	0	0	0	366
2025-12-09	9559	$0.001411	$21,192	$70,569	$1,308	1.85%	2.98%	0	0	0	0	0	365
2025-12-08	9637	$0.001369	$20,541	$69,261	-$1,144	-1.65%	-7.60%	0	0	0	0	0	364
2025-12-07	9472	$0.001473	$22,343	$70,405	-$342	-0.49%	-11.81%	0	0	0	0	0	363
2025-12-06	9302	$0.001647	$24,531	$70,747	$10,526	14.88%	-1.76%	1	1	0	0	0	362
2025-12-05	9229	$0.001676	$25,546	$60,221	-$588	-0.98%	-15.45%	0	0	0	0	0	361
2025-12-04	9059	$0.001935	$29,022	$60,810	-$5,055	-8.31%	-1.14%	0	0	0	0	0	360
2025-12-03	9045	$0.001957	$29,355	$65,864	$2,385	3.62%	0.56%	0	0	0	0	0	359
2025-12-02	8978	$0.001946	$29,314	$63,479	-$3,142	-4.95%	-1.95%	0	0	0	0	0	358
2025-12-01	8912	$0.001984	$30,236	$66,621	$496	0.74%	1.71%	0	0	0	0	0	357
2025-11-30	9032	$0.001950	$29,602	$66,125	-$4,476	-6.77%	-1.03%	0	0	0	0	0	356
2025-11-29	9025	$0.001970	$29,826	$70,601	$6,039	8.55%	3.20%	1	0	0	0	0	355
2025-11-28	9132	$0.001907	$28,227	$64,562	-$2,802	-4.34%	0.42%	0	0	0	0	0	354
2025-11-27	9154	$0.001899	$27,962	$67,364	-$9,811	-14.56%	1.11%	0	0	0	0	0	353
2025-11-26	9081	$0.001878	$28,493	$77,176	$14,737	19.10%	-0.85%	1	1	0	0	0	352
2025-11-25	9120	$0.001894	$27,823	$62,439	-$10,105	-16.18%	0.90%	0	0	0	0	0	351
2025-11-24	9086	$0.001877	$27,771	$72,544	-$3,936	-5.43%	-3.84%	0	0	0	0	0	350
2025-11-23	8982	$0.001949	$29,039	$76,480	-$9,636	-12.60%	2.51%	0	0	0	0	0	349
2025-11-22	9013	$0.001900	$28,228	$86,116	$19,939	23.15%	1.32%	1	1	0	0	0	348
2025-11-21	9061	$0.001875	$28,506	$66,178	-$1,363	-2.06%	-10.19%	0	0	0	0	0	347
2025-11-20	8954	$0.002066	$30,986	$67,540	-$9,513	-14.08%	0.15%	0	0	0	0	0	346
2025-11-19	8995	$0.002063	$30,739	$77,053	$4,545	5.90%	0.17%	1	0	0	0	0	345
2025-11-18	9007	$0.002060	$30,770	$72,508	$4,545	6.27%	0.17%	1	0	0	0	0	344
2025-11-17	9018	$0.002056	$30,800	$67,963	-$13,037	-19.18%	-1.65%	0	0	0	0	0	343
2025-11-16	9051	$0.002090	$31,404	$81,001	$16,859	20.81%	0.48%	1	1	0	0	0	342
2025-11-15	9085	$0.002080	$31,123	$64,142	-$3,278	-5.11%	-6.01%	0	0	0	0	0	341
2025-11-14	8962	$0.002205	$33,080	$67,420	$955	1.42%	-2.36%	0	0	0	0	0	340
2025-11-13	9058	$0.002257	$34,067	$66,465	$6,354	9.56%	-0.97%	1	0	0	0	0	339
2025-11-12	9094	$0.002279	$33,987	$60,111	-$1,485	-2.47%	0.22%	0	0	0	0	0	338
2025-11-11	9114	$0.002274	$33,741	$61,595	-$2,858	-4.64%	0.57%	0	0	0	0	0	337
2025-11-10	9138	$0.002261	$34,218	$64,454	-$4,801	-7.45%	0.57%	0	0	0	0	0	336
2025-11-09	9113	$0.002248	$34,008	$69,254	-$10,835	-15.64%	-0.04%	0	0	0	0	0	335
2025-11-08	9067	$0.002249	$33,841	$80,089	$4,495	5.61%	0.84%	1	0	0	0	0	334
2025-11-07	9022	$0.002230	$35,479	$75,594	-$4,688	-6.20%	-8.92%	0	0	0	0	0	333
2025-11-06	8949	$0.002429	$36,237	$80,282	-$4,012	-5.00%	-2.59%	0	0	0	0	0	332
2025-11-05	8927	$0.002492	$36,953	$84,294	$2,286	2.71%	3.21%	0	0	0	0	0	331
2025-11-04	8923	$0.002412	$36,746	$82,008	-$12,330	-15.04%	-8.33%	0	0	0	0	0	330
2025-11-03	8947	$0.002613	$39,192	$94,338	$4,317	4.58%	0.65%	0	0	0	0	0	329
2025-11-02	9093	$0.002596	$38,657	$90,021	$8,515	9.46%	-3.54%	1	0	0	0	0	328
2025-11-01	9009	$0.002688	$40,325	$81,506	-$1,921	-2.36%	0.71%	0	0	0	0	0	327
2025-10-31	9021	$0.002669	$40,018	$83,427	-$11,306	-13.55%	-0.22%	0	0	0	0	0	326
2025-10-30	9042	$0.002675	$40,129	$94,733	-$5,306	-5.60%	3.93%	0	0	0	0	0	325
2025-10-29	9152	$0.002570	$38,584	$100,039	$8,601	8.60%	-0.51%	1	0	0	0	0	324
2025-10-28	9163	$0.002583	$39,217	$91,438	-$1,956	-2.14%	0.95%	0	0	0	0	0	323
2025-10-27	9128	$0.002559	$39,476	$93,394	-$1,956	9.58%	4.58%	1	0	0	0	0	322
2025-10-26	9093	$0.002534	$39,735	$95,351	$6,279	6.58%	-4.26%	1	0	0	0	0	323
2025-10-25	9074	$0.002642	$39,408	$89,072	$8,531	9.58%	4.58%	1	0	0	0	0	322
2025-10-24	9116	$0.002521	$37,813	$80,541	$5,431	6.74%	0.48%	1	0	0	0	0	321
2025-10-23	9117	$0.002509	$37,447	$75,110	$5,431	-2.08%	-1.89%	0	0	0	0	0	320
2025-10-22	9118	$0.002497	$37,082	$69,679	-$431	-0.62%	-5.85%	0	0	0	0	0	321
2025-10-21	9022	$0.002643	$39,795	$70,110	-$1,457	-2.08%	-1.89%	0	0	0	0	0	320
2025-10-20	9031	$0.002693	$40,303	$71,567	$11,073	15.47%	0.00%	1	1	0	0	0	319
2025-10-19	9020	$0.002693	$40,415	$60,494	-$4,825	-7.98%	1.60%	0	0	0	0	0	318
2025-10-18	9021	$0.002650	$39,455	$65,319	$1,888	2.89%	-2.60%	0	0	0	0	0	317
2025-10-17	8952	$0.002719	$40,681	$63,431	-$1,299	-2.05%	-1.80%	0	0	0	0	0	316
2025-10-16	9009	$0.002768	$41,255	$64,730	-$4,037	-6.24%	-1.30%	0	0	0	0	0	315
2025-10-15	8986	$0.002804	$42,076	$68,767	-$3,695	-5.37%	3.57%	0	0	0	0	0	314
2025-10-14	9053	$0.002704	$40,242	$72,462	$3,048	4.21%	-0.59%	0	0	0	0	0	313
2025-10-13	9064	$0.002720	$40,180	$69,414	-$5,802	-8.36%	0.37%	0	0	0	0	0	312
2025-10-12	9037	$0.002710	$40,654	$75,216	$8,860	11.78%	2.32%	1	1	0	0	0	311
2025-10-11	8993	$0.002647	$39,741	$66,356	-$3,092	-4.66%	-2.19%	0	0	0	0	0	310
2025-10-10	9205	$0.002705	$41,083	$69,449	$21,283	30.65%	0.22%	1	1	0	0	0	309
2025-10-09	9205	$0.002699	$41,057	$48,166	-$18,031	-37.43%	-1.30%	0	0	0	0	0	308
2025-10-08	9208	$0.002734	$40,970	$66,197	$5,581	8.43%	-1.13%	1	0	0	0	0	307
2025-10-07	9244	$0.002765	$40,895	$60,616	-$11,601	-19.14%	2.17%	0	0	0	0	0	306
2025-10-06	9243	$0.002705	$40,871	$72,217	$3,495	4.84%	-1.00%	0	0	0	0	0	305
2025-10-05	9202	$0.002732	$40,785	$68,722	$3,675	5.35%	-0.29%	1	0	0	0	0	304
2025-10-04	9155	$0.002740	$41,430	$65,047	-$1,611	-2.48%	0.58%	0	0	0	0	0	303
2025-10-03	9173	$0.002724	$41,093	$66,658	-$1,775	-2.66%	-2.13%	0	0	0	0	0	302
2025-10-02	9144	$0.002782	$41,539	$68,433	-$196	-0.29%	3.56%	0	0	0	0	0	301
2025-10-01	9089	$0.002683	$40,250	$68,628	-$1,086	-1.58%	-2.20%	0	0	0	0	0	300
2025-09-30	9011	$0.002742	$40,801	$69,715	$1,605	2.30%	1.24%	0	0	0	0	0	299
2025-09-29	9008	$0.002708	$41,091	$68,110	-$2,298	-3.37%	0.96%	0	0	0	0	0	298
2025-09-28	8996	$0.002682	$40,244	$70,408	$2,460	3.49%	-0.19%	0	0	0	0	0	297
2025-09-27	8967	$0.002687	$40,533	$67,948	$226	0.33%	1.12%	0	0	0	0	0	296
2025-09-26	8967	$0.002657	$40,121	$67,723	-$1,573	-2.32%	-0.53%	0	0	0	0	0	295
2025-09-25	9000	$0.002671	$40,208	$69,296	-$1,573	-2.27%	0.81%	0	0	0	0	0	294
2025-09-24	9032	$0.002685	$40,295	$70,868	-$9,220	-13.01%	-1.60%	0	0	0	0	0	295
2025-09-23	9023	$0.002728	$41,362	$80,089	$2,439	3.04%	0.81%	0	0	0	0	0	294
