date	+BTC	+ETH	+USDC	+ADA	break	BTC	BTC quote	BTC $	BTC %	ETH	ETH quote	ETH $	ETH %	USD	USD quote	USD $	USD %	ADA	ADA quote	ADA $	ADA %	TOTAL	deposits/withdrawals	yields	yields, total	liquidations	payouts	gains	gains, total	total δ
2026-03-04	0.00000	0.00000	0.00	0.00	|	0.03609	$71,385.00	$2,576.21	17.72%	1.1007	$2,061.62	$2,269.30	15.61%	2,388.35	$1.00	$2,388.35	16.43%	27,017.27	$0.2703	$7,302.77	50.24%	$14,536.64	$0.00	$0.00	$0.00	$0.00	370.79	$100.22	$100.22	$298.08	$388.61
2026-03-03	0.00000	0.00000	0.00	0.00	|	0.03609	$68,191.00	$2,460.94	17.39%	1.1007	$1,975.29	$2,174.28	15.37%	2,388.35	$1.00	$2,388.35	16.88%	27,017.27	$0.2637	$7,124.45	50.36%	$14,148.03	$0.00	$0.00	$0.00	$0.00	370.79	$97.78	$97.78	$197.86	-$308.00
2026-03-02	0.00000	-0.01261	0.00	0.00	|	0.03609	$68,711.00	$2,479.71	17.18%	1.0552	$2,023.97	$2,135.78	14.79%	2,388.35	$1.00	$2,388.35	16.54%	27,017.27	$0.28	$7,432.45	51.48%	$14,436.29	$0.00	$0.00	$0.00	-$25.51	$0.00	-$25.51	-$92.41	-$77.35
2026-03-01	0.00000	0.00000	0.00	0.00	|	0.03609	$66,869.00	$2,413.24	16.63%	1.0678	$1,998.14	$2,133.71	14.70%	2,388.35	$1.00	$2,388.35	16.46%	27,017.27	$0.28	$7,578.34	52.22%	$14,513.64	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	-$66.89	$103.70
2026-02-28	0.00000	0.00000	0.00	0.00	|	0.03609	$65,237.00	$2,354.34	16.78%	1.0678	$1,904.45	$2,033.66	14.50%	2,388.35	$1.00	$2,388.35	17.03%	27,017.27	$0.27	$7,251.44	51.69%	$14,027.79	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	-$66.89	-$499.02
2026-02-27	0.00000	0.00000	0.00	0.00	|	0.03609	$66,059.00	$2,384.00	16.41%	1.0678	$1,959.41	$2,092.35	14.40%	2,388.35	$1.00	$2,388.35	16.44%	27,017.27	$0.28	$7,662.10	52.74%	$14,526.80	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	-$66.89	-$434.83
2026-02-26	0.00000	0.00000	0.00	0.00	|	0.03609	$67,891.00	$2,450.12	16.38%	1.0678	$2,064.34	$2,204.40	14.73%	2,388.35	$1.00	$2,388.35	15.96%	27,017.27	$0.29	$7,918.76	52.93%	$14,961.63	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	-$66.89	$560.18
2026-02-25	0.00000	0.00000	0.00	0.00	|	0.03609	$66,260.00	$2,391.26	16.60%	1.0678	$1,964.26	$2,097.53	14.56%	2,388.35	$1.00	$2,388.35	16.58%	27,017.27	$0.28	$7,524.31	52.25%	$14,401.45	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	-$66.89	$572.02
2026-02-24	0.00000	0.00000	0.00	0.00	|	0.03609	$64,710.00	$2,335.32	16.89%	1.0678	$1,860.48	$1,986.71	14.37%	2,388.35	$1.00	$2,388.35	17.27%	27,017.27	$0.26	$7,119.05	51.48%	$13,829.43	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	-$66.89	-$361.90
2026-02-23	0.00000	-0.03478	0.00	0.00	|	0.03609	$66,215.00	$2,389.63	16.84%	1.0678	$1,923.35	$2,053.84	14.47%	2,388.35	$1.00	$2,388.35	16.83%	27,017.27	$0.27	$7,359.50	51.86%	$14,191.33	$0.00	$0.00	$0.00	-$66.89	$0.00	-$66.89	-$66.89	-$55.07
2026-02-22	0.00000	0.00000	0.00	0.00	|	0.03609	$67,367.00	$2,431.21	17.07%	1.1026	$1,941.08	$2,140.29	15.02%	2,388.35	$1.00	$2,388.35	16.76%	27,017.27	$0.27	$7,286.56	51.15%	$14,246.40	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	-$443.41
2026-02-21	0.00000	0.00000	0.00	0.00	|	0.03609	$68,429.00	$2,469.53	16.81%	1.1026	$1,987.48	$2,191.45	14.92%	2,388.35	$1.00	$2,388.35	16.26%	27,017.27	$0.28	$7,640.48	52.01%	$14,689.82	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	-$46.38
2026-02-20	0.00000	1.10263	2,388.35	-18,056.02	|	0.03609	$67,455.00	$2,434.38	16.52%	1.1026	$1,956.62	$2,157.42	14.64%	2,388.35	$1.00	$2,388.35	16.21%	27,017.27	$0.29	$7,756.04	52.63%	$14,736.19	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$185.83
2026-02-19	0.03609	0.00000	0.00	45,073.29	|	0.03609	$65,964.00	$2,380.57	16.36%	0.0000	$1,928.97	$0.00	0.00%	0.00	$1.00	$0.00	0.00%	45,073.29	$0.27	$12,169.79	83.64%	$14,550.36	$14,550.36	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00	$0.00
