opened	pivot	close	tx_id	from	amount1	virtual	10% gain	quote1	val1	to	quote2	amount computed	amount2	commission	gas token	gas	gas quote	gas $	net	val2	diff	δ	δBTC	δUNDEAD	closed
2025-08-12	17	0	https://snowtrace.io/tx/0x0fdc5963c237ce49bcf5db6e0555b2a370f964ad03a5fd99c14833fcaaf28624	BTC	0.00417	0	0.004587	$118,881.00	$495.73	UNDEAD	$0.009099	54482	55895		AVAX	0.0021245	$23.55	$0.05	55895	$508.59	$12.86	-15691762			*hedge
2025-08-15	18	10	https://snowtrace.io/tx/0x6f7f2eaae6e10b8cecaa8b10d78a75b7833977b339f13919472d437d4456bc24	UNDEAD	128000	0	140800	$0.004137	$529.54	BTC	$118,774.00	0.004458	0.004261		AVAX	0.0025874	$23.61	$0.06	0.004261	$506.13	-$23.41	-3523202			✅
2025-08-15	19	9	virtual swap	BTC	0	0.004261	0.004687375	$118,774.00	$506.13	UNDEAD	$0.004137	122341	125956		AVAX	0.0000000	$23.61	$0.00	125956	$521.08	$14.95	-3523202			✅
2025-08-20	20	10	https://snowtrace.io/tx/0x343b62465de21d839e3f8eb93951a3866e9541f00875d000d5e1472eeb3a5073	UNDEAD	124000	0	136400	$0.004300	$533.20	BTC	$113,847.00	0.004683	0.004376		AVAX	0.0019972	$22.94	$0.05	0.004376	$498.24	-$34.96	286434	10.74%	-6.77%	✅
2025-08-20	21	0	virtual swap	BTC	0	0.00436	0.004796	$113,847.00	$496.37	UNDEAD	$0.004300	115436	118870		AVAX	0	$22.94	$0.00	118870	$511.14	$14.77	286434	-10.70%	6.49%	
2025-08-25	22	10	https://snowtrace.io/tx/0xf3b65b7fc4bca24914b45cdc14fe6ca2c7e3c2c04809f2ce2e4cd7831ce24efe	UNDEAD	130000	0	143000	$0.003977	$517.01	BTC	$111,395.00	0.004641	0.004608		AVAX	0.0044801	$23.19	$0.10	0.004608	$513.28	-$3.73	-536410	10.21%	-7.62%	✅
2025-08-25	23	0	virtual swap	BTC	0	0.00458	0.005038	$111,395.00	$510.19	UNDEAD	$0.003977	128285	127011		AVAX	0	$23.19	$0.00	127011	$505.12	-$5.06	-536410	-10.15%	7.44%	
2025-09-02	24	11	https://snowtrace.io/tx/0xfa174d589e264d581581f033e3ba5256c350f23c43a586c258e536f55ff8b5cd	UNDEAD	177000	0	194700	$0.00285	$505.16	BTC	$109,292.00	0.004622	0.004507		AVAX	0.0026816	$23.90	$0.06	0.004507	$492.57	-$12.59	7733806	14.12%	-8.35%	*hedge
2025-09-02	25	0	virtual swap	BTC	0	0.009	0.0099	$109,292.00	$983.63	UNDEAD	$0.002854	344649	329495		AVAX	0	$23.90	$0.00	329495	$940.38	-$43.25	7733806	-28.20%	15.54%	
2025-09-03	26	11	https://snowtrace.io/tx/0xe0b0efe282f7d7d3f7476ae506edd24489e8b3884072c80030854dee2322b01d	UNDEAD	181000	0	199100	$0.00293	$530.15	BTC	$111,384.00	0.004760	0.004562		AVAX	0.0024747	$25.29	$0.06	0.004562	$508.14	-$22.01	7220241	14.12%	-8.35%	*hedge
2025-09-03	27	0	virtual swap	BTC	0	0.009	0.0099	$111,384.00	$1,002.46	UNDEAD	$0.002929	342252	332655		AVAX	0	$25.29	$0.00	332655	$974.35	-$28.11	7220241	-28.20%	15.54%	
2025-10-21	28	0	https://snowtrace.io/tx/0xca2e5bedca647a3ffc69e6a6ef949de03c7b13595d3b8c963cc1ac294c637571	UNDEAD	214000	0	235400	$0.002613	$559.18	BTC	$108,555.00	0.005151	0.004298		AVAX	0.0046317	$19.99	$0.09	0.004298	$466.59	-$92.59	-348166	17.91%	-11.55%	
2025-10-21	29	0	https://snowtrace.io/tx/0xcd61bf1c948720dccb16f1c7f9cebd065c2d2dc734792f17fe85e9cdd76971ab	BTC	0.00444	0	0.004884	$108,555.00	$481.98	UNDEAD	$0.002613	184456	217404		AVAX	0.0019536	$19.99	$0.04	217404	$568.08	$86.09	-348166	-18.50%	11.74%	
2025-11-23	30	0	virtual swap	UNDEAD	0	259000	0	$0.001925	$498.58	BTC	$86,526.00	0.005762	0.005560		AVAX	0	$13.30	$0.00	0.005560	$481.08	-$17.49	541985	20.38%	-12.91%	
2025-11-23	31	0	virtual swap	BTC	0	0.00575	0.006325	$86,526.00	$497.52	UNDEAD	$0.001925	258454	248812		AVAX	0	$13.30	$0.00	248812	$478.96	-$18.56	541985	-21.08%	12.40%	
